address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,income_level,speed_down_bins,race_quantile,is_slow,race_perc,color
"12, 250 Commonwealth Avenue, Boston, MA, 02116",Boston,Boston,MA,42.35019,-71.08285,1,1701821799.682889,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\4.geojson.gz,C,0.2908745247148289,1.2524050433825265,14192.625770678467,2.0,-19258.0,0.9527896995708156,95556.0,Upper Income,Medium (25-99),most white,0,"[0.29, 0.33)",#a8596d
"1, 16 Sunnyside Street, Boston, MA, 02136",Boston,Boston,MA,42.25215,-71.13186,1,1701822299.6983922,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\40.geojson.gz,C,0.906108597285068,1.6000812603213714,8663.099508045707,3.0,-45785.0,0.9114470842332614,122083.0,Upper Income,Medium (25-99),least white,0,"[0.9, 0.95)",#a8596d
"73, 2 Hawthorne Place, Boston, MA, 02114",Boston,Boston,MA,42.3640485,-71.0661651,1,1701822312.4206977,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\41.geojson.gz,D,0.3645833333333333,0.2187606490340507,1921.633388380123,3.0,59607.0,0.6820512820512821,16691.0,Low,Medium (25-99),most white,0,"[0.33, 0.38)",#a8596d
"3, 11 Wiget Street, Boston, MA, 02113",Boston,Boston,MA,42.364075,-71.056145,1,1701822332.46821,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\42.geojson.gz,D,0.1305125148986889,1.2543316993892368,25921.863655322635,3.0,-19405.0,0.9384615384615383,95703.0,Upper Income,Medium (25-99),most white,0,"[0.1, 0.14)",#a8596d
"C, 11 Bronsdon Street, Boston, MA, 02135",Boston,Boston,MA,42.35962,-71.14361,1,1701822350.817006,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\43.geojson.gz,D,,,,,,,,,Medium (25-99),,0,,#a8596d
", 5 Copeland Park, Boston, MA, 02119",Boston,Boston,MA,42.32257,-71.0792,1,1701822361.6793015,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\44.geojson.gz,D,0.9285714285714286,0.2885396733859341,9653.914815694508,3.0,54283.0,0.89198606271777,22015.0,Low,Medium (25-99),least white,0,"[0.9, 0.95)",#a8596d
"1003, 10 Rowes Wharf, Boston, MA, 02110",Boston,Boston,MA,42.3569198,-71.0503196,1,1701822384.4752178,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\45.geojson.gz,,,,,,,,,,Medium (25-99),,0,,#a8596d
"Apt 302, 566 Commonwealth Avenue, Boston, MA, 02215",Boston,Boston,MA,42.348778,-71.098827,1,1701822402.879248,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\46.geojson.gz,,0.4848812095032397,0.4234055938556711,9135.393236257449,3.0,43993.0,0.7147335423197492,32305.0,Low,Medium (25-99),integrated,0,"[0.48, 0.52)",#a8596d
"1, 28 Maplewood Street, Boston, MA, 02132",Boston,Boston,MA,42.27085,-71.14866,1,1701822415.1151333,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\47.geojson.gz,C,0.5078125,0.7525492149204436,1931.4939988716187,3.0,18880.0,0.8064516129032258,57418.0,,Medium (25-99),integrated,0,"[0.48, 0.52)",#a8596d
"E, 71 Burroughs Street, Boston, MA, 02130",Boston,Boston,MA,42.3144371,-71.1179365,1,1701822432.4188175,Viasat,25,Not specified,Mbps,69.99,Satellite,Choice 25 Mbps/60 GB,50,299.99,../data/intermediary/isp/viastat\boston\48.geojson.gz,B,0.2143628509719222,2.101509869197096,5242.775613733128,3.0,-84043.0,0.951058201058201,160341.0,Upper Income,Medium (25-99),most white,0,"[0.19, 0.24)",#a8596d
