address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,income_level,speed_down_bins,race_quantile,is_slow,race_perc,color
"4, Blackwell Street, Boston, MA, 02122",Boston,Boston,MA,42.28788,-71.04728,1,1701822137.564486,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\28.geojson.gz,C,0.2346445824706694,1.1654302865081654,3137.5521030693444,3.0,-12622.0,0.9010654490106544,88920.0,,Blazing (≥200),most white,0,"[0.19, 0.24)",#7b89a1
"26, Myrtle Street, Boston, MA, 02130",Boston,Boston,MA,42.31465,-71.11627,1,1701822179.0542166,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\31.geojson.gz,B,0.2143628509719222,2.101509869197096,5242.775613733128,3.0,-84043.0,0.951058201058201,160341.0,Upper Income,Blazing (≥200),most white,0,"[0.19, 0.24)",#7b89a1
"14, Greenwich Street, Boston, MA, 02120",Boston,Boston,MA,42.335678,-71.083492,1,1701822230.584515,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\35.geojson.gz,D,0.8246753246753247,0.4475870927154053,10180.37586174332,3.0,42148.0,0.8211009174311926,34150.0,Low,Blazing (≥200),least white,0,"[0.81, 0.86)",#7b89a1
"16, Sunnyside Street, Boston, MA, 02136",Boston,Boston,MA,42.25215,-71.13186,1,1701822295.4232054,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\40.geojson.gz,C,0.906108597285068,1.6000812603213714,8663.099508045707,3.0,-45785.0,0.9114470842332614,122083.0,Upper Income,Blazing (≥200),least white,0,"[0.9, 0.95)",#7b89a1
"11, Wiget Street, Boston, MA, 02113",Boston,Boston,MA,42.364075,-71.056145,1,1701822328.1274612,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\42.geojson.gz,D,0.1305125148986889,1.2543316993892368,25921.863655322635,3.0,-19405.0,0.9384615384615383,95703.0,Upper Income,Blazing (≥200),most white,0,"[0.1, 0.14)",#7b89a1
"11, Bronsdon Street, Boston, MA, 02135",Boston,Boston,MA,42.35962,-71.14361,1,1701822346.4142983,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\43.geojson.gz,D,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"11A, Langdon Street, Boston, MA, 02119",Boston,Boston,MA,42.3239589,-71.0727914,2,1701823469.612552,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\130.geojson.gz,D,0.9741650913673598,0.6459671288893549,8563.334682314853,2.0,27012.0,0.751131221719457,49286.0,,Blazing (≥200),least white,0,"[0.95, 1.0)",#7b89a1
"22, Hill Street, Boston, MA, 02129",Boston,Boston,MA,42.3809745,-71.0637841,4,1701824629.0261788,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\241.geojson.gz,D,0.1248049921996879,1.8321843298644789,15680.039138943248,3.0,-63494.0,1.0,139792.0,Upper Income,Blazing (≥200),most white,0,"[0.1, 0.14)",#7b89a1
"10, Rowes Wharf, Boston, MA, 02110",Boston,Boston,MA,42.3569198,-71.0503196,1,1701822378.489401,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\45.geojson.gz,,,,,,,,,,Blazing (≥200),,0,,#7b89a1
"566, Commonwealth Avenue, Boston, MA, 02215",Boston,Boston,MA,42.348778,-71.098827,1,1701822398.065834,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\46.geojson.gz,,0.4848812095032397,0.4234055938556711,9135.393236257449,3.0,43993.0,0.7147335423197492,32305.0,Low,Blazing (≥200),integrated,0,"[0.48, 0.52)",#7b89a1
"71, Burroughs Street, Boston, MA, 02130",Boston,Boston,MA,42.3144371,-71.1179365,1,1701822428.3643491,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\48.geojson.gz,B,0.2143628509719222,2.101509869197096,5242.775613733128,3.0,-84043.0,0.951058201058201,160341.0,Upper Income,Blazing (≥200),most white,0,"[0.19, 0.24)",#7b89a1
"15, Ballard Street, Boston, MA, 02130",Boston,Boston,MA,42.3082446,-71.1180643,1,1701822577.3059158,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\60.geojson.gz,C,0.0410742496050552,1.3810978007287216,5725.242621853604,2.0,-29077.0,0.9652173913043478,105375.0,Upper Income,Blazing (≥200),most white,0,"[0.0, 0.05)",#7b89a1
"8, Winslow Street, Boston, MA, 02119",Boston,Boston,MA,42.3288292,-71.0812581,1,1701822641.8108664,xfinity,400,10,Mbps,102.0,Cable,Fast,1200,117.0,../data/intermediary/isp/xfinity\boston\65.geojson.gz,D,0.8520833333333333,0.3574536685103148,4888.050075357438,3.0,49025.0,0.8584615384615385,27273.0,Low,Blazing (≥200),least white,0,"[0.81, 0.86)",#7b89a1
"16, Kirkwood Road, Boston, MA, 02135",Boston,Boston,MA,42.341489,-71.15831,1,1701821832.6780636,xfinity,400,10,Mbps,102.0,Cable,Fast,2000,130.0,../data/intermediary/isp/xfinity\boston\7.geojson.gz,B,0.2197475872308834,0.9363154997509764,8308.609001918321,3.0,4859.0,0.9547038327526132,71439.0,,Blazing (≥200),most white,0,"[0.19, 0.24)",#7b89a1
